Histogram1,Histogram2,Histogram3,Histogram4,Histogram5,Histogram6,Histogram7,Histogram8,Histogram9,Histogram10,Histogram11,Histogram12,Histogram13,Histogram14,Histogram15,Histogram16,Score
39,158,232,259,8968,27611,8065,2180,1478,493,316,428,742,470,247,64,3
321,173,255,188,695,8376,20752,16288,1299,156,155,172,213,435,767,1505,3
2950,8312,3204,1569,389,383,2868,15225,12806,3475,179,151,93,70,23,53,2
1,207,257,190,141,1059,16586,19085,8466,2191,293,137,156,113,129,2739,0
1,119,270,213,578,1292,8534,18857,11564,5097,1775,189,117,136,157,2851,1
3,42,175,379,1020,1420,2307,3099,3799,3887,3486,2695,1935,2070,5494,18496,3
12,279,483,114,96,687,7805,15038,12026,5991,3343,1590,668,450,544,2624,0
0,676,2484,984,9508,26882,8668,347,122,287,1206,540,46,0,0,0,1
2959,6421,1677,1570,6617,9775,4199,10294,2551,1420,1309,618,172,91,225,409,1
101,273,220,144,271,1043,16111,18406,8752,2571,486,163,170,135,164,2740,2
101,273,220,144,271,1043,16111,18406,8752,2571,486,163,170,135,164,2740,0
186,9795,3242,1372,975,777,625,503,448,406,394,350,470,924,2507,27333,0
0,0,1,171,5897,29057,14514,418,106,122,103,85,255,526,433,62,3
0,0,217,35861,13699,341,170,170,121,81,135,373,514,68,0,0,2
2,49,618,3740,7255,5277,11155,17927,4044,901,372,290,104,13,2,1,-1
1,128,797,1892,2440,4186,3570,2487,2030,1777,1527,1402,1431,1605,1924,24553,0
0,0,0,1,60,2407,13059,20992,10863,1440,152,103,147,177,211,2138,1
0,0,0,9,40,81,151,264,1563,5267,7924,8133,6964,5767,5475,10112,0
43,2429,3765,4244,8186,15311,10636,2455,1090,1102,971,570,296,129,118,405,3
3105,18032,4786,3269,3257,3945,6626,4222,902,281,157,223,282,359,468,1836,2
16,1975,1124,1773,31987,10549,1776,297,132,74,52,44,57,62,82,1750,0
75,42584,4558,266,160,216,136,274,277,813,491,75,94,140,127,21,1
1,275,646,406,456,719,736,639,552,607,1352,3499,5145,5802,6071,24844,0
13459,20211,8457,3284,549,320,294,204,130,91,70,68,99,156,180,2735,1
0,0,8,57,133,197,560,1187,2969,5633,7528,6485,5601,5717,5404,10271,1
0,1,117,28231,19507,1161,232,215,215,278,255,378,544,473,130,13,2
110,4385,8530,2222,1255,1121,1864,13410,12159,3965,1277,321,77,78,102,874,0
0,0,10,135,186,231,229,411,1616,3418,6694,9091,11475,9182,4284,4788,2
301,22076,12577,3318,928,623,513,436,397,548,969,1120,1198,1318,1434,3994,3
6539,11717,4038,3214,9118,6842,4446,1798,579,544,724,598,418,222,242,711,0
2050,2824,21852,5105,2403,2373,2879,2084,1036,2578,2394,1133,488,271,296,1984,-1
2050,2824,21852,5105,2403,2373,2879,2084,1036,2578,2394,1133,488,271,296,1984,1
0,0,31,258,2492,26339,19180,1971,36,0,0,0,0,0,0,0,1
14,139,305,2454,29532,15032,985,208,180,241,463,785,746,448,214,4,-1
0,0,7,31,76,2568,9695,10220,15419,10807,1633,150,153,176,228,587,2
0,23,1865,3839,2214,1460,1590,1825,1647,1806,3763,7713,10829,8625,3380,1171,0
